,PMID,abstract
10,24665865,To evaluate the diagnostic accuracy and repeatability of the visual assessment of the cervical vertebral maturation (CVM) stages.
11,24665886,"To compare the clinical performance of brackets bonded to anterior and posterior teeth, including second molars."
12,24665887,To evaluate treatment and posttreatment dentoskeletal effects induced by the Forsus device (FRD) in growing patients with Class II malocclusion in a retrospective controlled clinical study.
13,24665888,To test the null hypothesis that there were no significant differences for pharyngeal airway volumes between the adolescent patients affected by bilateral cleft lip and palate (BCLP) and well-matched controls using cone beam computed tomography.
14,24673657,To investigate the perception of facial asymmetry in young adults to identify the amounts of chin asymmetry that can be regarded as normal and may benefit from correction.
15,24673658,To investigate dentofacial characteristics of orthodontic patients with centric relation (CR)-maximum intercuspation (MI) discrepancy and to analyze changes in dentofacial characteristics between CR and MI positions in these patients using lateral cephalograms.
16,24665889,To evaluate the effect of different lubricants on friction between orthodontic brackets and archwires.
17,24694014,To investigate the time course of osteocyte death in a mouse model of orthodontic tooth movement (OTM) and its association to the caspase-3 activation pathway and osteoclast formation.
18,24694015,To investigate whether there is evidence to support the association between cortical thickness (CtTh) and the primary stability of mini-implants (MI).
19,24694016,To evaluate the relationship between pretreatment case complexity and orthodontic treatment outcomes.
20,24713070,To evaluate the condylar changes through cone-beam computed tomography (CBCT) images in patients treated with Twin-Block functional appliance.
21,24731061,To compare the effect of secondary alveolar bone graft (SABG) on the tooth development stage of the maxillary central incisor (MXCI) and maxillary canine (MXC) in terms of the severity of unilateral cleft.
22,24731062,"To evaluate the effect of different bracket types on the levels of Streptococcus mutans (SM) and Lactobacillus (LB) in saliva, in plaque, and on the periodontal condition."
23,24731063,"To investigate the effect of Lithothamnium sp (LTT) supplement, a calcium-rich alga widely used for mineral reposition, on strain-induced (orthodontic tooth movement [OTM]) and infection-induced bone resorption (periodontal disease [PD]) in mice."
24,24738791,To investigate the effects of third-order torque on frictional properties of self-ligating brackets (SLBs).
25,24745629,"To clarify the reproducibility of a tentative method for identifying maxillofacial landmarks on three-dimensional (3D) images obtained with cone-beam computed tomography (CBCT) for dental use in patients with mandibular prognathism. Also, the influence of level of experience of dentists applying the method was investigated by dividing them into two groups according to experience."
26,24754797,To investigate differences in the amount of tooth movement and root resorption that occurred after tipping and bodily movement of the maxillary first molar in rats.
27,24762046,To evaluate the impact of the first 8 months of orthodontic treatment with a fixed appliance on the families of adolescent patients and to examine the evaluative properties of the Family Impact Scale (FIS).
28,24773221,To assess the association between formation stages of the mandibular third molars and the space distal to the permanent molars (retromolar space).
29,24784844,To compare the following over a period of 8 weeks: (1) force decay between thermoplastic (TP) and thermoset (TS) elastomeric chains; (2) force decay between light (200-g) and heavy (350-g) initial forces; and (3) force decay between direct chains and chain loops (stretched from one pin around the second pin and back to the first pin).
30,24813300,"Mohs micrographic surgery (MMS) is an effective treatment for skin cancer. Until recently, it has been difficult to determine the percentage of skin cancers best treated with MMS. The appropriate-use criteria represents an opportunity to more accurately estimate this number."
31,24813325,"To compare bond strength and bond failure location of lingual brackets indirectly bonded after lingual enamel sandblasting with 27-, 50-, and 90-µm aluminum oxide particles followed by 37% phosphoric acid etching."
32,25238327,"Guillain-Barré syndrome (GBS) is an acute, paralysing, inflammatory peripheral nerve disease. Intravenous immunoglobulin (IVIg) is beneficial in other autoimmune diseases. This is an update of a review first published in 2001 and previously updated in 2003, 2005, 2007, 2010 and 2012. Other Cochrane systematic reviews have shown that plasma exchange (PE) significantly hastens recovery in GBS compared with supportive treatment alone, and that corticosteroids alone are ineffective."
33,25318966,"Pharmaceuticals are important interventions that could improve people's health. Pharmaceutical pricing and purchasing policies are used as cost-containment measures to determine or affect the prices that are paid for drugs. Internal reference pricing establishes a benchmark or reference price within a country which is the maximum level of reimbursement for a group of drugs. Other policies include price controls, maximum prices, index pricing, price negotiations and volume-based pricing."
34,25321859,"This is an update of the review on ""Lidocaine for pain relief in burn injured patients"" first published in Issue 3, 2007, and first updated in 2012. Pain is a major issue for people with many different types of wounds, in particular those people with burn injuries. Prompt, aggressive use of opioid analgesics such as morphine has been suggested as critical to avert the cycle of pain and anxiety, but adverse effects are encountered. It has been proposed that newer agents such as lidocaine could be effective in reducing pain and alleviating the escalating opioid dosage requirements in people with burn injury."
35,25829028,"This is an updated version of the original Cochrane review published in 2005 on selective serotonin reuptake inhibitors (SSRIs) for preventing migraine and tension-type headache. The original review has been split in two parts and this review now only regards migraine prevention. Another updated review is under development to cover tension-type headache.Migraine is a common disorder. The chronic forms are associated with disability and have a high economic impact. In view of discoveries about the role of serotonin and other neurotransmitters in pain mechanisms, selective serotonin reuptake inhibitors (SSRIs) and serotonin-norepinephrine reuptake inhibitors (SNRIs) have been evaluated for the prevention of migraine."
36,26690497,"Hypoxaemia during labour can alter the shape of the fetal electrocardiogram (ECG) waveform, notably the relation of the PR to RR intervals, and elevation or depression of the ST segment. Technical systems have therefore been developed to monitor the fetal ECG during labour as an adjunct to continuous electronic fetal heart rate monitoring with the aim of improving fetal outcome and minimising unnecessary obstetric interference."
37,26801659,"Ovarian cancer is the third most common gynaecological cancer worldwide, with an age-standardised incidence rate of 6.1 per 10,000 women. Standard therapy for advanced epithelial ovarian cancer (EOC) includes a combination of cytoreductive surgery and platinum-based chemotherapy. Cytoreductive surgery aims to remove as much of the visible tumour as possible. As extensive intraperitoneal metastases are typical of advanced EOC, cytoreductive surgery is usually an extensive procedure with the risk of excessive bleeding. Tranexamic acid given perioperatively is effective in reducing blood loss and allogeneic blood transfusion requirements in a variety of surgical settings. Therefore, tranexamic acid seems to be a promising agent for minimising blood loss and the need for blood transfusion among women with advanced EOC undergoing cytoreductive surgery."
38,26824178,"The objective of this study was to develop a computational fluid dynamics (CFD) model to predict the deposition, dissolution, clearance, and absorption of pharmaceutical particles in the human nasal cavity."
39,26850728,"Spinal cord edema is a serious complication and pathophysiological change after ischemia reperfusion (IR) injury. It has been demonstrated closely associated with bimodal disruption of blood-spinal cord barrier (BSCB) in our previous work. Aquaporin (AQP)1 plays important but contradictory roles in water homeostasis. Recently, microRNAs (miRs) effectively regulate numerous target mRNAs during ischemia. However, whether miRs are able to protect against dimodal disruption of BSCB by regulating perivascular AQP1 remains to be elucidated."
40,26935713,"Blood pressure is a commonly measured risk factor for non-fatal and fatal cardiovascular adverse events such as heart attacks and strokes. Clinical trials have suggested that coenzyme Q10, a non-prescription nutritional supplement, can effectively lower blood pressure (BP). When this review was completed and published in October 2009, it concluded that ""due to the possible unreliability of the 3 included studies, it is uncertain whether or not coenzyme Q10 reduces blood pressure in the long-term management of primary hypertension."""
41,26961574,Beta blockers are commonly used to treat hypertension. The blood pressure reading is the primary tool for physicians and patients to assess the efficacy of the treatment. The blood pressure lowering effect of beta-1 selective blockers is not known.
42,27012320,"In areas where vitamin A deficiency (VAD) is a public health concern, the maternal dietary intake of vitamin A may be not sufficient to meet either the maternal nutritional requirements, or those of the breastfed infant, due the low retinol concentrations in breast milk."
43,27022888,"Melatonin is an antioxidant with anti-inflammatory and anti-apoptotic effects. Animal studies have supported a fetal neuroprotective role for melatonin when administered maternally. It is important to assess whether melatonin, given to the mother, can reduce the risk of neurosensory disabilities (including cerebral palsy) and death, associated with fetal brain injury, for the preterm or term compromised fetus."
44,27030541,"Early rehospitalization after an episode of acute heart failure (AHF) remains excessively high and its prediction a contemporary challenge. Iron deficiency (ID) is a frequent finding in AHF, but its prognostic implications remain unclear. We sought to evaluate the association between ID and risk of 30-day readmission in an unselected cohort of patients discharged for AHF."
45,27045603,"Ganoderma lucidum is a natural medicine that is widely used and recommended by Asian physicians and naturopaths for its supporting effects on immune system. Laboratory research and a handful of preclinical trials have suggested that G. lucidum carries promising anticancer and immunomodulatory properties. The popularity of taking G. lucidum as an alternative medicine has been increasing in cancer patients. However, there is no systematic review that has been conducted to evaluate the actual benefits of G. lucidum in cancer treatment."
46,27045604,Policies and protocols vary widely for fetal surveillance in a pregnancy where the fetus is suspected to be large-for-gestational-age (LGA). All ultimately culminate in decisions about the mode and timing of birth. LGA is known to be associated with increased risks to both the mother and baby. Interventions based on surveillance regimen findings may be associated with risks to the mother and baby.
47,27087257,"Asthma remains a significant cause of avoidable morbidity and mortality. Regular check-ups with a healthcare professional are essential to monitor symptoms and adjust medication.Health services worldwide are considering telephone and internet technologies as a way to manage the rising number of people with asthma and other long-term health conditions. This may serve to improve health and reduce the burden on emergency and inpatient services. Remote check-ups may represent an unobtrusive and efficient way of maintaining contact with patients, but it is uncertain whether conducting check-ups in this way is effective or whether it may have unexpected negative consequences."
48,27087494,"Primary dysmenorrhoea is the most common form of period pain and affects up to three-quarters of women at some stage of their reproductive life. Primary dysmenorrhoea is pain in the absence of any organic cause and is characterised by cramping pain in the lower abdomen, starting within the first eight to 72 hours of menstruation.This review examines the currently available evidence supporting the use of acupuncture (stimulation of points on the body using needles) and acupressure (stimulation of points on the body using pressure) to treat primary dysmenorrhoea."
49,27144417,Recent advances in deep amplicon sequencing have enabled rapid assessment of somatic mutations and structural changes in multiple cancer genes in DNA isolated from tumour tissues and circulating cell-free DNA (cfDNA). This cfDNA is under investigation as a 'liquid biopsy' for the real time monitoring of patients with cancer in a growing number of research studies and clinical trials.
50,27356090,"Ovarian cancer is seventh most common cancer in women worldwide. Approximately 1.3% of women will be diagnosed with ovarian cancer at some point during their life time. The majority of tumours arise from surface of the ovary (epithelial). Two thirds of these women will present with advanced disease, requiring aggressive treatment, which includes debulking surgery (removal of as much disease as possible) and chemotherapy. However, most women (75%) with advanced epithelial ovarian cancer (EOC) will relapse following surgery and chemotherapy. Patients who relapse are treated with either platinum or non-platinum drugs and this is dependent on the platinum-sensitivity and platinum-free interval. These drug regimens are generally well-tolerated although there are potential severe side effects. New treatments that can be used to treat recurrence or prevent disease progression after first-line or subsequent chemotherapy are important, especially those with a low toxicity profile. Hormones such as luteinising hormone releasing hormone (LHRH) agonists have been used in the treatment of relapsed EOC. Some studies have shown objective remissions, while other studies have shown little or no benefit. Most small studies report a better side-effect profile for LHRH agonists when compared to standard chemotherapeutic agents used in EOC."
51,27398809,"Candida bloodstream infections most often affect those already suffering serious, potentially life-threatening conditions and often cause significant morbidity and mortality. Most affected persons have a central venous catheter (CVC) in place. The best CVC management in these cases has been widely debated in recent years, while the incidence of candidaemia has markedly increased."
52,27425827,"Invasion of hepatocytes by sporozoites is essential for Plasmodium to initiate infection of the mammalian host. The parasite's subsequent intracellular differentiation in the liver is the first developmental step of its mammalian cycle. Despite their biological significance, surprisingly little is known of the signalling pathways required for sporozoite invasion. We report that sporozoite invasion of hepatocytes requires signalling through two second-messengers - cGMP mediated by the parasite's cGMP-dependent protein kinase (PKG), and Ca"
53,27692735,Hidradenitis suppurativa (HS) is a chronic inflammatory disease of the hair follicle. Standard practice of managing acute flares with corticosteroid injection lacks scientific evidence.
54,27940449,Breast cancer tissues are heterogeneous and show diverse somatic mutations and somatic copy number alterations (CNAs). We used a novel targeted next generation sequencing (NGS) panel to examine cell-free DNA (cfDNA) to detect somatic mutations and gene amplification in women with metastatic breast cancer (MBC).
55,28111965,This study aimed to identify CD4
56,28176508,"Therapeutic education for Type 1 Diabetes involves the process of transmitting knowledge and developing the skills and behavior required to treat the disease. guidelines agree on stressing the importance of therapeutic educational intervention in teaching self-management skills to children and adolescents with Type 1 Diabetes (T1D). This study presents the results of the ""Pediatric Education for Type 1 Diabetes (T1D)"" (PED) project, specifically designed for children and adolescents aged 6 to 16, and structured on guidelines indications, as part of a broader clinical-educational intervention for Type 1 diabetes."
57,28138773,"China has repeatedly been the subject of genetic studies to elucidate its prehistoric and historic demography. While some studies reported a genetic distinction between Northern and Southern Han Chinese, others showed a more clinal picture of small differences within China. Here, we investigated the distribution of Y chromosome variation along administrative as well as ethnic divisions in the mainland territory of the People's Republic of China, including 28 administrative regions and 19 recognized Chinese nationalities, to assess the impact of recent demographic processes. To this end, we analyzed 37,994 Y chromosomal 17-marker haplotype profiles from the YHRD database with respect to forensic diversity measures and genetic distance between groups defined by administrative boundaries and ethnic origin. We observed high diversity throughout all Chinese provinces and ethnicities. Some ethnicities, including most prominently Kazakhs and Tibetans, showed significant genetic differentiation from the Han and other groups. However, differences between provinces were, except for those located on the Tibetan plateau, less pronounced. This discrepancy is explicable by the sizeable presence of Han speakers, who showed high genetic homogeneity all across China, in nearly all studied provinces. Furthermore, we observed a continuous genetic North-South gradient in the Han, confirming previous reports of a clinal distribution of Y chromosome variation and being in notable concordance with the previously observed spatial distribution of autosomal variation. Our findings shed light on the demographic changes in China accrued by a fast-growing and increasingly mobile population."
58,28176512,"There is no evidence of the need for oxygen supplementation during upper digestive endoscopies under ketamine sedation in children, and the latest recommendations specifically state that it is not mandatory for the procedure. The aim of our study is to assess the incidence of respiratory adverse events during upper digestive endoscopies in children under Ketamine sedation when performed without oxygen supplementation, in accordance with the latest recommendations."
59,28211647,The aim of this study was to elucidate the specific clinical characteristics associated with abnormal brain magnetic resonance image (MRI) findings in hypoxic ischemic encephalopathy (HIE) infants in order to discern how to predict poorer outcomes more accurately.
60,28472874,As inflammatory bowel disease (IBD) might be associated with environmental factors such as seasonal patterns and low vitamin D levels we aimed to assess their association with IBD onset and flares in a large cohort of children.
61,28565900,"Intrauterine growth restriction (IUGR) is caused by fetal growth below what is normal for its genetic potential. Recent studies have shown a distinct association between changes in umbilical artery flow in IUGR subjects and an increased risk of respiratory morbidity and consequently, higher mortality. The aim of this study was to find the impact of IUGR on the respiratory outcomes of premature neonates born with less than 32 weeks gestational age."
62,28664771,"Little research exists on women who do not identify as heterosexual in India. Social support for sexual minority women may protect against the effects of discrimination. An examination of significant social relationships may point to both strengths and weaknesses in this support. We aimed to understand relationship prioritisation and communication patterns associated with the social support of sexual minority women in Mumbai. In partnership with the Humsafar Trust, India's oldest and largest sexual and gender minority-advocacy organisation, we conducted photo-elicitation interviews with 18 sexual minority women, using participants' photographs to prompt dialogue about their social support. Intimate partners were a source of dependable support and many of those without relationships were seeking them. Participants' extended networks included friends and family as well as less formal relationships of social support. Participants mediated their communication with particular social network members, which involved filtering information sexual identity, romantic interests, and personal aspirations, among others. The diverse relationships that sexual minority women have in their social support networks may be used to guide programmes to improve health outcomes."
63,28711514,"Polycystic ovarian syndrome (PCOS) is associated with multiple cardiovascular risk factors (CVRF) including endothelial dysfunction (ED) and presence of metabolic syndrome (MS). The probable reason suggested for elevated CVRF in PCOS is oxidative stress (OS), which is an integral factor in cardiometabolic complications (CMC) seen in PCOS women. The interrelated mechanisms by which CVRF instigate clinical manifestation plays a crucial role in identification of a strategy to treat different comorbidities in PCOS. The existing treatment for PCOS mostly focuses on management of individual disorders, however, therapeutic strategies or novel targets to address cardiovascular complications in PCOS deserve extensive analysis."
64,28721264,Cytochrome 
65,28752988,Sleep disorders are common in young children. Our objective was to describe a psychodrama using puppets and to assess the interest of this approach for the treatment of sleep disorders in ambulatory pediatric patients.
66,28601047,"Asthma is a complex, heterogeneous and chronic airway inflammatory disease with different clinical phenotypes caused by diverse triggers and pathophysiological mechanisms. Asthma heritability has been established in many genetic studies but it is evident that only genetic elements are not responsible for the development of asthma. Increasing rate of asthma incidence during past decades has implicated the role of epigenetics in development of asthma. Environmental factors perform as initiator signals through epigenetic mechanisms. Three epigenetic mechanisms have been identified, including DNA methylation, histone modifications, and small noncoding RNAs. These mechanisms regulate the immune responses and inflammatory genes expression in asthma and allergy. This review explains the role of epigenetic modifications in controlling Th2 response and IgE production in asthma and also briefly overviews the role of environmental factors such as pollutions, allergens, prenatal exposures and diet in developing asthma. Recognizing environmental risk factors and their effects on epigenetic mechanisms would be of great interest for prognostic and preventive aspect in treatment of asthma."
67,28722720,"Biologists, physicians and immunologists have contributed to the understanding of the cellular participants and biological pathways involved in inflammation. Here, we provide a general guide to the cellular and humoral contributors to inflammation as well as to the pathways that characterize inflammation in specific organs and tissues."
68,28859730,"This multi-method study explores the perceived health status and health behaviours of sexual minority (i.e. self-identifying with a sexual identity label other than heterosexual) females (i.e. those assigned female at birth who may or may not identify as women) in Mumbai, India, a population whose health has been generally absent in scientific literature."
69,29112004,"The aim of this study was to evaluate the relationship of anastomotic leakage, local recurrence, and overall survival in rectal cancer patients treated with preoperative chemoradiotherapy (CRT) and curative resection."
70,29152076,"The majority of pancreatic ductal adenocarcinomas (PDAC) are diagnosed late so that surgery is rarely curative. Earlier detection could significantly increase the likelihood of successful treatment and improve survival. The aim of the study was to provide proof of principle that point mutations in key cancer genes can be identified by sequencing circulating free DNA (cfDNA) and that this could be used to detect early PDACs and potentially, premalignant lesions, to help target early effective treatment. Targeted next generation sequencing (tNGS) analysis of mutation hotspots in 50 cancer genes was conducted in 26 patients with PDAC, 14 patients with chronic pancreatitis (CP) and 12 healthy controls with "
71,29224114,"Aneurysmal subarachnoid hemorrhage (aSAH) is associated with high socio-economic burden. Prothrombotic states of early brain injury (EBI) and delayed cerebral ischemia (DCI) after aSAH determine morbidity and mortality. To understand how activated platelets might contribute to such prothrombotic states, we studied trends in coated-platelets during EBI and DCI periods. Serial blood samples from a prospective cohort of aSAH patients were collected and assayed for coated-platelet levels. Patient's coated-platelet level during post-hospital discharge follow-up served as an estimate of baseline. Occurrence of DCI, Montreal cognitive assessment (MOCA) score of < 26, and modified Rankin scale (mRS) of 3-6 were considered poor clinical outcomes. Non-linear regression analysis detected a transition between periods of rising and declining coated-platelet levels at day 4. Additional regression analyses of coated-platelet trends before day 4 showed differences among patients with modified Fisher 3-4 [4.2% per day (95% CI 2.4, 6.1) vs. - 0.8% per day (95% CI - 3.4, 1.8); p = 0.0023] and those developing DCI [4.6% per day (95% CI 2.8, 6.5) vs. - 1.9% per day (95% CI - 4.5, 0.5); p < 0.001]. Differences between peak coated-platelet levels and baseline levels were larger, on average for those with DCI [18.1 ± 9.6 vs. 10.6 ± 8.0; p = 0.03], MOCA < 26 [17.0 ± 7.8 vs. 10.7 ± 7.4; p = 0.05] and mRS 3-6 [24.8 ± 10.5 vs. 11.9 ± 7.6; p = 0.01]. Coated-platelet trends after aSAH predict DCI and short-term clinical outcomes. The degree of rise in coated-platelets is also associated with adverse clinical outcomes."
72,29107330,"Immune evasion is a hallmark of cancer. Losing the ability to present neoantigens through human leukocyte antigen (HLA) loss may facilitate immune evasion. However, the polymorphic nature of the locus has precluded accurate HLA copy-number analysis. Here, we present loss of heterozygosity in human leukocyte antigen (LOHHLA), a computational tool to determine HLA allele-specific copy number from sequencing data. Using LOHHLA, we find that HLA LOH occurs in 40% of non-small-cell lung cancers (NSCLCs) and is associated with a high subclonal neoantigen burden, APOBEC-mediated mutagenesis, upregulation of cytolytic activity, and PD-L1 positivity. The focal nature of HLA LOH alterations, their subclonal frequencies, enrichment in metastatic sites, and occurrence as parallel events suggests that HLA LOH is an immune escape mechanism that is subject to strong microenvironmental selection pressures later in tumor evolution. Characterizing HLA LOH with LOHHLA refines neoantigen prediction and may have implications for our understanding of resistance mechanisms and immunotherapeutic approaches targeting neoantigens. VIDEO ABSTRACT."
73,29249609,The domestic response to the West Africa Ebola virus disease (EVD) epidemic from 2014-2016 provides a unique opportunity to distill lessons learned about health sector planning and operations from those individuals directly involved. This research project aimed to identify and integrate these lessons into an actionable checklist that can improve health sector resilience to future high-consequence infectious disease (HCID) events.
74,29274354,"Ochratoxin A (OTA), a common mycotoxin found in nature, has been implicated as effecting the function of male reproductive systems. OTA exposure has been shown to decrease sperm production and quality, however, the underlying mechanisms remain unknown. In the current investigation boar sperm exposed to 10 and 100μM OTA in vitro for 24h resulted in significantly decreased motility, in the 100μM OTA treatment group when compared with the control group. The level of reactive oxygen species (ROS) was significantly increased in both of the OTA treatment groups. The increase in ROS activated phosphatase and the tensin homolog deleted on chromosome ten (PTEN) and inhibited the activation of protein kinase B (PKB, AKT), activated adenosine 5'-monophosphate (AMP), and activated protein kinase (AMPK) in the exposed sperm. Furthermore, activation of AMPK was enhanced by a decrease in ATPase. These changes culminated in a decline in boar sperm motility. PTEN/AMPK inhibitors significantly inhibited the expression of the two proteins in the OTA treatment group. In addition, there was increased expression of apoptosis markers in the OTA exposed sperm. In conclusion, these data suggest that OTA exposure affects the sperm motility via the AMPK and PTEN signaling pathways."
75,29381006,"Recently a new version of International Physical Activity Questionnaire was performed for adolescent (IPAQ-A), but there is no Italian version yet. The aim of the study is to examine the test-retest reliability of an Italian version of short IPAQ-A."
76,29460549,Immunoglobulin supplementation is a debated strategy in fighting sepsis. We evaluated a polyclonal IgM and IgA enriched immunoglobulin (IgMeIVIG) preparation in reducing the short-term mortality in extremely low birth weight neonates (ELBW) with proven infection.
